,STNID,Lat,Long,Elevation,State,Sta.Name,GSNFlag,HCNFlag,WMOID,Method,ANNprcp_100thIN,ANNprcp_IN,FLAG1,AvgAnnNDS
1,AQC00914000,-14.3167,-170.7667,408.4,AS,AASUFOU,,,NA,TRADITIONAL,21392,213.92,R,203.3
2,AQW00061705,-14.3306,-170.7136,3.7,AS,PAGO PAGO WSO AP,GSN,,91765,TRADITIONAL,12263,122.63,C,160.2
3,CQC00914080,15.2136,145.7497,252.1,MP,CAPITOL HILL 1,,,NA,TRADITIONAL,8339,83.39,P,140.7
4,CQC00914801,14.1717,145.2428,179.2,MP,ROTA AP,,,91221,TRADITIONAL,9124,91.24,R,154.4
5,CQC00914855,15.1189,145.7294,65.5,MP,SAIPAN INTL AP,,,91232,TRADITIONAL,6976,69.76,P,129.6
6,CQC00914874,15,145.6333,81.7,MP,TINIAN,,,91231,TRADITIONAL,7868,78.68,P,142.9
7,FMC00914213,9.4508,138.062,15.2,FM,GILMAN,,,NA,TRADITIONAL,11594,115.94,R,166.1
8,FMC00914325,1.0833,154.8,2.7,FM,KAPINGAMARANGI,,,NA,TRADITIONAL,12840,128.4,P,164.3
9,FMC00914395,5.3544,162.9533,2.1,FM,KOSRAE,,,91355,TRADITIONAL,19334,193.34,P,220.9
10,FMC00914419,5.5167,153.8167,1.5,FM,LUKUNOCH,,,NA,TRADITIONAL,14000,140,P,185.3
11,FMC00914429,9.4833,138.0833,10.1,FM,LUWEECH,,,NA,TRADITIONAL,12219,122.19,R,193
12,FMC00914446,9.6053,138.1786,14.9,FM,MAAP,,,NA,TRADITIONAL,11115,111.15,R,170.5
13,FMC00914482,6.8456,158.3064,9.1,FM,METALANIM,,,NA,TRADITIONAL,15905,159.05,R,206.5
14,FMC00914585,9.5742,138.1108,3,FM,NORTH FANIF,,,NA,TRADITIONAL,11230,112.3,R,172
15,FMC00914590,3.85,155.0167,2.4,FM,NUKUORO,,,91425,TRADITIONAL,15660,156.6,R,183.6
16,FMC00914705,6.9053,158.1586,45.7,FM,PAIES-KITTI,,,NA,TRADITIONAL,21416,214.16,R,263.8
17,FMC00914720,6.2167,160.7,2.4,FM,PINGELAP,,,NA,TRADITIONAL,15301,153.01,R,191.9
18,FMC00914761,7.35,149.2,2.1,FM,POLOWAT,,,91324,TRADITIONAL,10064,100.64,R,145.7
19,FMC00914808,9.6244,138.1592,19.8,FM,RUMUNG,,,NA,TRADITIONAL,11360,113.6,R,182.6
20,FMC00914831,9.55,138.15,21.3,FM,TAMIL,,,NA,TRADITIONAL,11391,113.91,R,165.7
21,FMC00914892,10.0333,139.8,1.8,FM,ULITHI,,,NA,TRADITIONAL,10152,101.52,R,152
22,FMC00914898,5.2739,162.9742,4,FM,UTWA,,,NA,TRADITIONAL,18972,189.72,P,225.3
23,FMC00914911,7.3833,143.9167,2.1,FM,WOLEAI ATOLL,,,91317,TRADITIONAL,12021,120.21,P,163.2
24,FMW00040308,9.4833,138.0833,13.4,FM,YAP ISLAND WSO AP,GSN,,91413,TRADITIONAL,12093,120.93,C,167.6
25,FMW00040504,6.9667,158.2167,36.6,FM,POHNPEI WSO,GSN,,91348,TRADITIONAL,18122,181.22,S,220
26,FMW00040505,7.45,151.8333,1.5,FM,CHUUK WSO AP,GSN,,91334,TRADITIONAL,13454,134.54,S,181.4
27,GQC00914001,13.3894,144.6575,3,GU,AGAT,,,NA,TRADITIONAL,9350,93.5,P,151
