GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
310M300US10100,10100,"Aberdeen, SD Micro Area",22465,468,20456,494,18541,483,1915,259,1289,234,432,120,125,64,23,34,46,52,51,47,49,47,2,3,0,20,0,20,0,20,56,56,43,38,111,97,595,168,181,118,972,150
310M300US10140,10140,"Aberdeen, WA Micro Area",26590,756,23774,728,20441,822,3333,477,2837,469,293,100,95,56,57,39,51,48,233,97,232,96,0,28,0,28,1,4,0,28,26,42,14,17,89,66,595,172,169,81,1690,314
310M300US10180,10180,"Abilene, TX Metro Area",75679,1321,69412,1467,61365,1431,8047,673,6230,642,879,207,467,136,316,121,155,116,419,241,419,241,0,31,0,31,0,31,0,31,13,20,152,66,141,83,1598,267,391,145,3553,470
310M300US10220,10220,"Ada, OK Micro Area",16951,410,16130,459,14808,451,1322,207,1042,186,224,91,14,14,22,20,20,19,115,105,99,104,0,20,4,6,0,20,12,16,0,20,18,18,39,32,283,79,68,53,298,89
310M300US10300,10300,"Adrian, MI Micro Area",43557,757,40464,740,36141,786,4323,524,3391,524,585,162,178,85,134,93,35,34,150,111,150,111,0,23,0,23,0,23,0,23,11,14,48,34,208,93,1159,223,167,70,1350,178
310M300US10420,10420,"Akron, OH Metro Area",338434,2779,312801,2881,289295,2868,23506,1271,18314,1068,3131,408,846,225,738,208,477,158,5100,712,5022,714,10,15,16,19,7,10,45,32,114,98,146,57,312,119,5658,496,1424,281,12879,913
310M300US10460,10460,"Alamogordo, NM Micro Area",25718,893,23626,944,20188,1104,3438,545,2850,544,402,155,56,42,94,50,36,44,156,56,156,56,0,28,0,28,0,28,0,28,0,28,156,92,129,77,748,321,105,58,798,194
310M300US10500,10500,"Albany, GA Metro Area",59786,1095,55059,1151,48622,1175,6437,570,5120,501,972,277,168,72,71,68,106,50,755,256,751,255,4,8,0,30,0,30,0,30,0,30,61,42,15,18,1000,275,374,140,2522,430
310M300US10540,10540,"Albany, OR Metro Area",50113,1000,44735,1112,39071,1210,5664,722,4256,651,830,281,327,179,231,160,20,17,213,153,169,149,2,3,4,6,29,38,9,14,6,8,137,113,597,209,1296,297,416,211,2713,419
