"","GEO.id2","Id.x","Geography.x","Estimate..Total..x","Margin.of.Error..Total..x","Estimate..Total....White.alone","Margin.of.Error..Total....White.alone","Estimate..Total....Black.or.African.American.alone","Margin.of.Error..Total....Black.or.African.American.alone","Estimate..Total....American.Indian.and.Alaska.Native.alone","Margin.of.Error..Total....American.Indian.and.Alaska.Native.alone","Estimate..Total....Asian.alone","Margin.of.Error..Total....Asian.alone","Estimate..Total....Native.Hawaiian.and.Other.Pacific.Islander.alone","Margin.of.Error..Total....Native.Hawaiian.and.Other.Pacific.Islander.alone","Estimate..Total....Some.other.race.alone","Margin.of.Error..Total....Some.other.race.alone","Estimate..Total....Two.or.more.races.","Margin.of.Error..Total....Two.or.more.races.","Estimate..Total....Two.or.more.races....Two.races.including.Some.other.race","Margin.of.Error..Total....Two.or.more.races....Two.races.including.Some.other.race","Estimate..Total....Two.or.more.races....Two.races.excluding.Some.other.race..and.three.or.more.races","Margin.of.Error..Total....Two.or.more.races....Two.races.excluding.Some.other.race..and.three.or.more.races","Id.y","Geography.y","Estimate..Total..y","Margin.of.Error..Total..y","Estimate..Total....Not.Hispanic.or.Latino","Margin.of.Error..Total....Not.Hispanic.or.Latino","Estimate..Total....Hispanic.or.Latino","Margin.of.Error..Total....Hispanic.or.Latino","Crude.Prevalence..","Crude.95..CI","X2010.Census.Population","Estimate.Total.Commuters","Estimate.Bike.Commuters","MOE.Total.Commuters","MOE.Bike.Commuters","state_abbr","city_name","metric_number","est","lci","uci","data_yr_type"
"1",11001000100,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4665,431,53,60,0,17,296,176,0,17,53,60,103,101,0,17,103,101,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4545,358,625,249,3.9,"( 3.6, 4.3)","4,890",3114,268,276,121,"DC","Washington",15,1.4,1.1,1.6,"2015"
"2",11001000100,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4665,431,53,60,0,17,296,176,0,17,53,60,103,101,0,17,103,101,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4545,358,625,249,3.9,"( 3.6, 4.3)","4,890",3114,268,276,121,"DC","Washington",7,7,6.5,7.5,"2016, 1 Year Modeled Estimate"
"3",11001000100,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4665,431,53,60,0,17,296,176,0,17,53,60,103,101,0,17,103,101,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4545,358,625,249,3.9,"( 3.6, 4.3)","4,890",3114,268,276,121,"DC","Washington",19,41.1,37.4,44.7,"2016, 1 Year Modeled Estimate"
"4",11001000100,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4665,431,53,60,0,17,296,176,0,17,53,60,103,101,0,17,103,101,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4545,358,625,249,3.9,"( 3.6, 4.3)","4,890",3114,268,276,121,"DC","Washington",3,27.3,26.7,27.9,"2016, 1 Year Modeled Estimate"
"5",11001000100,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4665,431,53,60,0,17,296,176,0,17,53,60,103,101,0,17,103,101,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4545,358,625,249,3.9,"( 3.6, 4.3)","4,890",3114,268,276,121,"DC","Washington",9,21.7,20.9,22.5,"2015, 1 Year Modeled Estimate"
"6",11001000100,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4665,431,53,60,0,17,296,176,0,17,53,60,103,101,0,17,103,101,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4545,358,625,249,3.9,"( 3.6, 4.3)","4,890",3114,268,276,121,"DC","Washington",24,5.1,2.5,7.8,"2017, 5 Year Estimate"
"7",11001000100,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4665,431,53,60,0,17,296,176,0,17,53,60,103,101,0,17,103,101,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4545,358,625,249,3.9,"( 3.6, 4.3)","4,890",3114,268,276,121,"DC","Washington",25,3.7,0.9,6.6,"2017, 5 Year Estimate"
"8",11001000100,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4665,431,53,60,0,17,296,176,0,17,53,60,103,101,0,17,103,101,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4545,358,625,249,3.9,"( 3.6, 4.3)","4,890",3114,268,276,121,"DC","Washington",21,45.3,-999,-999,"2017, 5 Year Estimate"
"9",11001000100,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4665,431,53,60,0,17,296,176,0,17,53,60,103,101,0,17,103,101,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4545,358,625,249,3.9,"( 3.6, 4.3)","4,890",3114,268,276,121,"DC","Washington",6,5.3,5,5.6,"2016, 1 Year Modeled Estimate"
"10",11001000100,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4665,431,53,60,0,17,296,176,0,17,53,60,103,101,0,17,103,101,"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia",5170,350,4545,358,625,249,3.9,"( 3.6, 4.3)","4,890",3114,268,276,121,"DC","Washington",4,3.4,0,7.9,"2017, 5 Year Estimate"
