GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1 to grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 1 to grade 4,Estimate; Enrolled in school: - Enrolled in grade 5 to grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 5 to grade 8,Estimate; Enrolled in school: - Enrolled in grade 9 to grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 9 to grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
310M300US10100,10100,"Aberdeen, SD Micro Area",41002,169,10317,332,646,147,565,139,2608,213,1939,211,2132,166,2026,286,401,140,30685,360
310M300US10140,10140,"Aberdeen, WA Micro Area",69154,201,14589,400,1099,224,744,162,3164,318,3441,335,3438,222,2511,316,192,74,54565,379
310M300US10180,10180,"Abilene, TX Metro Area",162031,465,44443,1053,2714,443,2510,352,8773,492,8527,466,8555,423,11637,999,1727,301,117588,1042
310M300US10220,10220,"Ada, OK Micro Area",36669,106,10251,282,753,99,555,115,2061,165,2007,136,1802,160,2703,282,370,109,26418,272
310M300US10300,10300,"Adrian, MI Micro Area",95432,187,23750,515,1345,173,1111,169,4674,269,4914,293,5521,262,5622,431,563,143,71682,537
310M300US10420,10420,"Akron, OH Metro Area",681374,683,177926,1752,10466,653,7144,610,32502,1064,33324,1052,36770,837,46857,1511,10863,696,503448,1768
310M300US10460,10460,"Alamogordo, NM Micro Area",62398,260,15909,545,946,274,1214,288,3080,312,3579,409,3047,208,3371,425,672,231,46489,496
310M300US10500,10500,"Albany, GA Metro Area",148124,443,46565,948,3414,462,2024,325,8856,498,8199,496,9956,538,12555,849,1561,299,101559,881
310M300US10540,10540,"Albany, OR Metro Area",116568,262,27809,664,1133,187,1503,279,6610,397,6086,412,6210,312,5440,611,827,171,88759,627
