GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 5 minutes,Margin of Error; Total: - Less than 5 minutes,Estimate; Total: - 5 to 9 minutes,Margin of Error; Total: - 5 to 9 minutes,Estimate; Total: - 10 to 14 minutes,Margin of Error; Total: - 10 to 14 minutes,Estimate; Total: - 15 to 19 minutes,Margin of Error; Total: - 15 to 19 minutes,Estimate; Total: - 20 to 24 minutes,Margin of Error; Total: - 20 to 24 minutes,Estimate; Total: - 25 to 29 minutes,Margin of Error; Total: - 25 to 29 minutes,Estimate; Total: - 30 to 34 minutes,Margin of Error; Total: - 30 to 34 minutes,Estimate; Total: - 35 to 39 minutes,Margin of Error; Total: - 35 to 39 minutes,Estimate; Total: - 40 to 44 minutes,Margin of Error; Total: - 40 to 44 minutes,Estimate; Total: - 45 to 59 minutes,Margin of Error; Total: - 45 to 59 minutes,Estimate; Total: - 60 to 89 minutes,Margin of Error; Total: - 60 to 89 minutes,Estimate; Total: - 90 or more minutes,Margin of Error; Total: - 90 or more minutes
310M300US10100,10100,"Aberdeen, SD Micro Area",21493,457,1744,268,6316,487,5283,514,3898,508,1555,227,674,151,949,190,202,70,164,72,409,140,229,104,70,46
310M300US10140,10140,"Aberdeen, WA Micro Area",24900,695,1411,216,4420,477,4096,409,2851,379,2345,301,963,206,2652,304,771,221,835,215,1843,303,1679,284,1034,193
310M300US10180,10180,"Abilene, TX Metro Area",72126,1381,4141,398,12546,925,17756,1089,16627,943,8525,683,2660,353,4831,515,375,102,724,191,1370,270,1122,249,1449,269
310M300US10220,10220,"Ada, OK Micro Area",16653,416,715,118,2677,309,4238,353,3465,289,2427,205,397,80,1476,189,112,49,171,66,451,91,347,84,177,64
310M300US10300,10300,"Adrian, MI Micro Area",42207,777,2266,328,6174,453,5411,434,4391,433,4661,361,3018,346,4282,342,1304,174,2064,265,4279,342,3295,338,1062,185
310M300US10420,10420,"Akron, OH Metro Area",325555,2842,8963,760,33790,1469,48900,1406,56456,1525,50645,1576,27221,1304,37792,1494,11896,738,12699,781,21943,952,10682,722,4568,441
310M300US10460,10460,"Alamogordo, NM Micro Area",24920,885,1022,253,5096,493,5321,701,4104,585,3895,555,1243,275,1705,345,193,102,232,101,1226,262,535,149,348,119
310M300US10500,10500,"Albany, GA Metro Area",57264,1062,1857,292,6744,672,11340,755,12088,810,8734,611,3396,395,6258,561,1081,276,1097,227,2183,330,1405,274,1081,255
310M300US10540,10540,"Albany, OR Metro Area",47400,1001,2575,438,7379,779,7798,637,5429,538,7016,750,3168,429,5672,564,1298,287,1391,254,3061,391,1654,283,959,188
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",418682,2577,12851,834,40509,1591,60387,1469,73889,1687,71904,1705,31524,1170,56368,1848,13357,854,15674,1006,25707,956,10620,534,5892,499
310M300US10620,10620,"Albemarle, NC Micro Area",26173,592,1103,212,3892,350,4109,396,3454,395,2708,315,1035,216,2503,325,798,202,864,164,2872,346,2436,275,399,115
310M300US10660,10660,"Albert Lea, MN Micro Area",14464,319,992,183,3000,268,3110,298,2415,212,1610,175,659,124,1054,149,247,103,177,50,461,100,428,94,311,86
310M300US10700,10700,"Albertville, AL Micro Area",36929,794,1917,363,5491,514,7321,576,5875,417,3988,472,1153,182,2945,314,684,172,944,191,3515,421,2119,389,977,197
310M300US10740,10740,"Albuquerque, NM Metro Area",384206,3083,8558,774,35326,1822,54792,1572,70150,2207,69526,1797,27931,1162,55456,1861,9831,674,11955,815,22066,1183,12143,842,6472,668
310M300US10760,10760,"Alexander City, AL Micro Area",14685,557,335,118,1728,316,2081,321,3091,422,1618,273,521,162,1969,321,490,153,312,115,1157,227,1037,254,346,153
310M300US10780,10780,"Alexandria, LA Metro Area",58425,1168,2698,400,6929,673,10322,770,11063,740,9263,776,3755,556,6414,615,1222,290,988,216,2196,352,1393,282,2182,390
310M300US10820,10820,"Alexandria, MN Micro Area",17619,345,1088,191,3484,433,4070,372,3239,270,2271,169,875,129,1227,184,180,49,196,50,338,94,355,92,296,69
310M300US10860,10860,"Alice, TX Micro Area",15516,623,406,155,2250,419,1573,266,3441,513,379,135,206,85,3587,498,79,56,204,109,771,208,1756,365,864,273
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",381926,2684,11814,692,36317,1287,50771,1458,56532,1548,57739,1395,26676,1137,47566,1537,10619,725,12682,766,28521,1124,27560,1077,15129,863
310M300US10940,10940,"Alma, MI Micro Area",14114,476,929,129,2541,235,2151,200,1787,189,1538,161,843,123,1197,152,446,115,414,94,1116,153,829,107,323,83
310M300US10980,10980,"Alpena, MI Micro Area",11921,368,712,125,2768,265,2712,249,1907,202,1524,161,664,99,762,124,117,43,127,56,279,92,152,47,197,84
310M300US11020,11020,"Altoona, PA Metro Area",53959,863,3053,403,8482,613,10849,567,9540,616,7274,562,3475,358,4216,405,1095,224,1211,210,2453,305,1360,249,951,166
310M300US11060,11060,"Altus, OK Micro Area",11123,412,875,250,3110,385,3116,328,1942,326,713,147,119,38,376,91,103,52,97,62,266,93,273,100,133,58
310M300US11100,11100,"Amarillo, TX Metro Area",120868,1396,5661,558,15979,900,26050,1033,30333,1148,18250,1018,4542,481,9402,689,1476,249,1410,243,3234,367,2857,362,1674,331
310M300US11140,11140,"Americus, GA Micro Area",12672,555,733,179,1944,289,2412,362,2544,365,1381,235,557,159,1337,292,281,141,166,91,668,152,439,169,210,93
310M300US11180,11180,"Ames, IA Metro Area",47309,1064,2702,434,8397,740,11203,795,9550,698,5615,521,1417,242,2566,379,873,162,1210,222,2630,493,834,187,312,107
310M300US11220,11220,"Amsterdam, NY Micro Area",20618,509,893,153,3543,335,2744,276,2421,299,2061,257,1377,215,2106,246,675,142,1189,185,2365,244,999,190,245,77
310M300US11260,11260,"Anchorage, AK Metro Area",190731,1502,6570,676,23165,1220,38330,1400,40834,1367,32050,1368,7938,591,14604,1007,2286,338,3129,347,8865,547,8325,545,4635,443
310M300US11380,11380,"Andrews, TX Micro Area",7809,298,822,232,2318,363,1447,278,884,270,131,81,57,55,522,194,219,111,201,110,544,156,500,200,164,91
310M300US11420,11420,"Angola, IN Micro Area",16226,471,1096,227,2661,359,2831,299,2425,298,1981,266,885,187,1303,220,438,138,639,198,1077,199,525,126,365,118
310M300US11460,11460,"Ann Arbor, MI Metro Area",169022,1713,3731,389,15143,718,25270,1018,31276,1124,28814,1059,11968,653,19986,875,5076,427,7126,486,11670,566,6976,506,1986,292
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",44808,1078,1800,380,4769,463,6561,614,6716,623,7401,624,2964,400,6238,535,1262,287,1124,305,2896,398,1804,321,1273,275
310M300US11540,11540,"Appleton, WI Metro Area",119934,1186,4418,466,16420,726,22549,766,23739,809,20292,789,8285,500,11740,605,2953,310,2409,282,3641,302,1707,236,1781,195
310M300US11580,11580,"Arcadia, FL Micro Area",11817,559,413,132,1081,271,1987,371,1953,339,2079,438,259,90,1647,378,220,148,262,152,748,221,875,485,293,128
310M300US11620,11620,"Ardmore, OK Micro Area",19544,449,894,135,3715,345,4289,344,3203,303,2489,239,792,132,1918,209,314,104,327,98,746,152,409,119,448,142
310M300US11660,11660,"Arkadelphia, AR Micro Area",9796,438,548,137,2275,309,1952,309,1336,249,623,161,371,131,754,142,146,69,168,94,683,159,725,184,215,104
310M300US11680,11680,"Arkansas City-Winfield, KS Micro Area",14728,428,1299,194,3525,296,3427,364,1579,222,1354,217,562,128,898,181,216,75,199,58,957,179,572,111,140,51
310M300US11700,11700,"Asheville, NC Metro Area",189297,2102,5382,578,19040,959,32663,1571,39884,1574,34540,1327,13423,930,20262,1261,4873,527,4941,619,8037,738,3722,462,2530,397
310M300US11740,11740,"Ashland, OH Micro Area",23609,581,1665,284,3316,430,3628,409,2804,318,2982,415,1775,207,2788,346,576,147,823,186,1086,192,1533,238,633,178
310M300US11780,11780,"Ashtabula, OH Micro Area",38283,823,1859,256,5578,452,5641,433,4728,505,4890,447,2393,313,3667,394,1014,183,1391,195,3610,400,2417,330,1095,223
310M300US11820,11820,"Astoria, OR Micro Area",16243,499,1584,271,3212,342,3146,412,2506,369,2096,281,699,138,1196,205,203,79,283,120,573,161,270,79,475,114
310M300US11860,11860,"Atchison, KS Micro Area",7119,336,677,176,1825,290,1224,211,903,181,565,160,200,91,458,176,92,51,258,150,384,108,448,154,85,35
310M300US11900,11900,"Athens, OH Micro Area",25629,865,1231,256,4340,418,5009,484,4986,386,3533,433,1310,225,1870,267,378,161,370,141,1121,230,1022,235,459,151
310M300US11940,11940,"Athens, TN Micro Area",19643,748,823,220,2401,389,3228,452,2851,430,2846,388,908,245,2778,401,631,289,628,210,1177,235,1012,242,360,127
310M300US11980,11980,"Athens, TX Micro Area",29399,828,1184,209,3934,522,4241,499,3636,477,2960,355,1379,237,3173,370,671,192,728,184,2463,344,2939,346,2091,316
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",86932,1436,2307,325,9345,780,17143,978,18881,866,13973,933,4440,413,8388,675,1589,281,1717,357,4214,408,3085,392,1850,257
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2524024,8879,37889,2108,147298,3653,253595,3923,320820,4143,352483,5367,152338,3319,397036,5331,95286,2995,123009,3087,306886,4719,249998,4819,87386,2429
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",122038,1552,3327,447,12866,930,18996,1156,21574,1312,21025,1138,8913,652,13686,866,2459,328,3002,491,6337,638,6230,567,3623,442
310M300US12120,12120,"Atmore, AL Micro Area",11817,552,524,189,1983,332,2531,372,1975,356,1174,259,289,125,1158,260,239,121,357,150,584,194,714,177,289,105
310M300US12140,12140,"Auburn, IN Micro Area",20139,477,1190,282,3156,395,2983,307,3468,373,2705,380,1390,184,2011,290,800,183,730,156,1008,192,492,145,206,78
310M300US12180,12180,"Auburn, NY Micro Area",34870,642,2026,322,5046,470,5947,484,5126,445,3931,337,1939,198,3464,280,1039,135,1583,201,2692,320,1448,252,629,134
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",68387,1258,1324,275,7614,591,12823,975,13627,877,10133,670,3693,520,9338,777,1496,370,1513,329,3837,515,1872,364,1117,300
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",240679,2251,5540,556,19170,1159,35035,1594,46314,1894,41250,1839,17263,1201,34714,1616,6531,634,6798,669,16050,967,8449,745,3565,449
310M300US12300,12300,"Augusta-Waterville, ME Micro Area",54455,1044,2883,393,7117,623,7459,541,8152,638,7283,532,4257,402,6663,492,1884,288,1757,336,3360,372,2742,339,898,198
310M300US12380,12380,"Austin, MN Micro Area",18135,473,1511,252,5159,370,4055,369,1682,249,1201,135,627,78,1118,150,374,69,442,107,1232,153,435,133,299,123
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",954575,5295,19898,1240,74008,2462,117301,2577,149718,3099,145830,2940,66162,2015,144084,2786,29982,1392,42791,1856,91772,2422,55169,1983,17860,1029
310M300US12460,12460,"Bainbridge, GA Micro Area",9573,483,193,97,968,256,1682,305,1662,315,1251,236,913,230,920,213,293,99,355,153,557,143,695,201,84,51
310M300US12540,12540,"Bakersfield, CA Metro Area",318838,2707,7295,637,33134,1428,53428,2099,66751,2259,52058,1677,20644,1195,35364,1721,4300,486,7838,792,15812,1013,13638,1107,8576,706
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",1326285,4930,19220,788,80208,2098,134515,2940,175595,3336,189100,3408,90161,2431,211327,3595,50341,1739,66647,1885,146264,2420,112067,2307,50840,1671
310M300US12620,12620,"Bangor, ME Metro Area",68494,1165,3397,372,9549,710,11946,667,12240,768,9822,653,3779,408,7179,507,1333,253,1596,237,3490,300,2401,329,1762,247
310M300US12660,12660,"Baraboo, WI Micro Area",31895,523,2357,284,6261,541,5507,456,3832,283,3630,355,1904,259,2479,266,838,150,914,127,2103,229,1460,176,610,150
310M300US12680,12680,"Bardstown, KY Micro Area",20007,658,690,209,2656,389,3178,422,2771,350,2037,327,1013,248,1766,299,766,201,687,186,2449,325,1678,331,316,118
310M300US12700,12700,"Barnstable Town, MA Metro Area",95514,1385,3544,363,12996,755,18267,805,17712,923,13099,762,4964,403,8721,626,1700,275,2284,340,4392,486,4414,419,3421,348
