GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
310M300US10100,10100,"Aberdeen, SD Micro Area",42608,,41588,64,1020,64
310M300US10140,10140,"Aberdeen, WA Micro Area",71454,,64476,,6978,
310M300US10180,10180,"Abilene, TX Metro Area",169000,,130108,,38892,
310M300US10220,10220,"Ada, OK Micro Area",38289,,36345,,1944,
310M300US10300,10300,"Adrian, MI Micro Area",98585,,90925,,7660,
310M300US10420,10420,"Akron, OH Metro Area",703398,,690080,,13318,
310M300US10460,10460,"Alamogordo, NM Micro Area",65130,,40715,,24415,
310M300US10500,10500,"Albany, GA Metro Area",153776,,149719,110,4057,110
310M300US10540,10540,"Albany, OR Metro Area",121074,,110591,,10483,
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",881862,,838863,,42999,
310M300US10620,10620,"Albemarle, NC Micro Area",60875,,58435,,2440,
310M300US10660,10660,"Albert Lea, MN Micro Area",30619,,27711,,2908,
310M300US10700,10700,"Albertville, AL Micro Area",94738,,82138,,12600,
310M300US10740,10740,"Albuquerque, NM Metro Area",905049,,466368,,438681,
310M300US10760,10760,"Alexander City, AL Micro Area",40756,,39788,,968,
310M300US10780,10780,"Alexandria, LA Metro Area",154385,,149342,,5043,
310M300US10820,10820,"Alexandria, MN Micro Area",36891,,36321,,570,
310M300US10860,10860,"Alice, TX Micro Area",41318,,8167,,33151,
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",832790,,701388,,131402,
310M300US10940,10940,"Alma, MI Micro Area",41319,,38908,,2411,
310M300US10980,10980,"Alpena, MI Micro Area",28730,,28358,,372,
310M300US11020,11020,"Altoona, PA Metro Area",124736,,123269,,1467,
310M300US11060,11060,"Altus, OK Micro Area",25574,,19612,,5962,
310M300US11100,11100,"Amarillo, TX Metro Area",261827,117,188853,139,72974,111
310M300US11140,11140,"Americus, GA Micro Area",35855,,33971,122,1884,123
310M300US11180,11180,"Ames, IA Metro Area",95888,,92755,,3133,
310M300US11220,11220,"Amsterdam, NY Micro Area",49500,,42990,,6510,
310M300US11260,11260,"Anchorage, AK Metro Area",399360,,368279,,31081,
310M300US11380,11380,"Andrews, TX Micro Area",17577,,7840,,9737,
310M300US11420,11420,"Angola, IN Micro Area",34459,,33263,,1196,
310M300US11460,11460,"Ann Arbor, MI Metro Area",361509,,345104,,16405,
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",115527,,111406,,4121,
310M300US11540,11540,"Appleton, WI Metro Area",233025,,223340,,9685,
310M300US11580,11580,"Arcadia, FL Micro Area",35675,,24788,,10887,
310M300US11620,11620,"Ardmore, OK Micro Area",48407,,45101,,3306,
310M300US11660,11660,"Arkadelphia, AR Micro Area",22495,,21460,,1035,
310M300US11680,11680,"Arkansas City-Winfield, KS Micro Area",35732,,31952,,3780,
310M300US11700,11700,"Asheville, NC Metro Area",445625,,415445,,30180,
310M300US11740,11740,"Ashland, OH Micro Area",53299,,52628,,671,
310M300US11780,11780,"Ashtabula, OH Micro Area",98622,,94685,,3937,
310M300US11820,11820,"Astoria, OR Micro Area",38021,,34862,,3159,
310M300US11860,11860,"Atchison, KS Micro Area",16466,,15988,,478,
310M300US11900,11900,"Athens, OH Micro Area",65563,,64352,,1211,
310M300US11940,11940,"Athens, TN Micro Area",52569,,50634,,1935,
310M300US11980,11980,"Athens, TX Micro Area",79687,,70019,,9668,
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",202780,,185929,,16851,
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5700990,,5100957,77,600033,77
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",272926,,222416,,50510,
310M300US12120,12120,"Atmore, AL Micro Area",37621,,36812,,809,
310M300US12140,12140,"Auburn, IN Micro Area",42524,,41349,,1175,
310M300US12180,12180,"Auburn, NY Micro Area",78319,,76133,,2186,
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",156597,,150784,,5813,
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",589519,,558865,,30654,
310M300US12300,12300,"Augusta-Waterville, ME Micro Area",121289,,119510,,1779,
310M300US12380,12380,"Austin, MN Micro Area",39386,,35052,,4334,
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",2000590,,1356777,,643813,
310M300US12460,12460,"Bainbridge, GA Micro Area",27023,,25459,,1564,
310M300US12540,12540,"Bakersfield, CA Metro Area",878744,,419837,,458907,
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",2792050,,2639484,,152566,
310M300US12620,12620,"Bangor, ME Metro Area",152284,,150349,,1935,
310M300US12660,12660,"Baraboo, WI Micro Area",63340,,60280,,3060,
310M300US12680,12680,"Bardstown, KY Micro Area",45131,,44202,,929,
310M300US12700,12700,"Barnstable Town, MA Metro Area",213900,,208031,,5869,
