GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - No vehicle available,Margin of Error; Owner occupied: - No vehicle available,Estimate; Owner occupied: - 1 vehicle available,Margin of Error; Owner occupied: - 1 vehicle available,Estimate; Owner occupied: - 2 vehicles available,Margin of Error; Owner occupied: - 2 vehicles available,Estimate; Owner occupied: - 3 vehicles available,Margin of Error; Owner occupied: - 3 vehicles available,Estimate; Owner occupied: - 4 vehicles available,Margin of Error; Owner occupied: - 4 vehicles available,Estimate; Owner occupied: - 5 or more vehicles available,Margin of Error; Owner occupied: - 5 or more vehicles available,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - No vehicle available,Margin of Error; Renter occupied: - No vehicle available,Estimate; Renter occupied: - 1 vehicle available,Margin of Error; Renter occupied: - 1 vehicle available,Estimate; Renter occupied: - 2 vehicles available,Margin of Error; Renter occupied: - 2 vehicles available,Estimate; Renter occupied: - 3 vehicles available,Margin of Error; Renter occupied: - 3 vehicles available,Estimate; Renter occupied: - 4 vehicles available,Margin of Error; Renter occupied: - 4 vehicles available,Estimate; Renter occupied: - 5 or more vehicles available,Margin of Error; Renter occupied: - 5 or more vehicles available
310M300US10100,10100,"Aberdeen, SD Micro Area",17907,372,12090,352,252,81,2457,264,4900,344,3000,286,970,172,511,120,5817,336,1009,234,2896,339,1222,216,486,157,178,96,26,37
310M300US10140,10140,"Aberdeen, WA Micro Area",28070,696,18547,549,609,152,4225,404,7564,515,3910,405,1543,217,696,172,9523,587,1477,219,4285,471,2789,344,686,139,177,103,109,95
310M300US10180,10180,"Abilene, TX Metro Area",60369,910,37666,803,1065,228,10014,570,17128,685,6920,495,1847,286,692,149,22703,915,2098,321,11028,790,7683,645,1322,280,441,177,131,67
310M300US10220,10220,"Ada, OK Micro Area",14512,220,9291,266,145,51,2150,206,4089,282,2057,175,680,112,170,56,5221,244,645,114,2608,225,1577,166,337,83,26,24,28,23
310M300US10300,10300,"Adrian, MI Micro Area",38115,448,29599,594,798,175,7904,353,12524,540,5873,373,1700,205,800,169,8516,524,1173,177,3877,361,2763,341,521,118,108,52,74,63
310M300US10420,10420,"Akron, OH Metro Area",285229,1502,189113,1792,5425,490,51170,1375,84681,1595,32712,1316,10748,602,4377,373,96116,1637,17987,939,45973,1516,25729,1057,4783,521,1123,240,521,143
310M300US10460,10460,"Alamogordo, NM Micro Area",23657,710,15169,556,526,169,3965,345,6296,482,2891,410,950,191,541,141,8488,567,1047,265,3567,375,3191,405,612,174,44,36,27,36
310M300US10500,10500,"Albany, GA Metro Area",57644,686,31458,800,1175,238,8158,490,13424,606,5934,451,2052,314,715,205,26186,824,5056,466,12719,826,6277,503,1525,285,510,162,99,65
310M300US10540,10540,"Albany, OR Metro Area",46265,516,29649,747,639,139,6576,449,11567,637,6975,586,2372,260,1520,262,16616,732,1922,246,7071,531,5339,540,1651,284,410,164,223,122
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",349325,1630,224766,2003,5933,455,62158,1588,104596,1652,37983,1001,10533,614,3563,354,124559,1876,28155,1089,61619,1646,28980,1225,4682,475,871,208,252,101
310M300US10620,10620,"Albemarle, NC Micro Area",23859,415,17293,476,469,147,3566,302,6720,352,4063,335,1640,219,835,179,6566,377,920,256,2708,333,2338,285,422,134,76,41,102,71
310M300US10660,10660,"Albert Lea, MN Micro Area",12958,219,9958,259,235,62,2537,191,4220,239,1896,154,692,99,378,68,3000,243,511,129,1532,213,726,136,187,57,38,18,6,5
310M300US10700,10700,"Albertville, AL Micro Area",34588,510,24437,578,501,123,5702,410,10372,535,5399,408,1881,255,582,133,10151,605,1213,210,5129,487,2692,337,853,208,210,151,54,51
310M300US10740,10740,"Albuquerque, NM Metro Area",345399,2008,231628,2213,5146,485,63003,1543,97393,1667,45981,1170,14031,711,6074,510,113771,2070,14374,912,55281,1575,33519,1312,8189,648,2020,403,388,132
310M300US10760,10760,"Alexander City, AL Micro Area",16369,431,11763,425,481,145,2676,285,4707,358,2661,300,925,180,313,106,4606,466,952,255,2199,364,983,227,353,145,96,69,23,23
310M300US10780,10780,"Alexandria, LA Metro Area",55303,852,34291,803,1254,228,9987,564,15467,670,5409,417,1617,301,557,159,21012,837,3476,390,10781,702,5536,502,1067,226,96,61,56,44
310M300US10820,10820,"Alexandria, MN Micro Area",16175,265,12149,299,123,36,2459,247,5841,271,2638,199,788,97,300,65,4026,320,632,154,1851,313,1005,200,355,125,111,49,72,96
310M300US10860,10860,"Alice, TX Micro Area",13614,361,9447,403,518,141,2804,334,3539,383,1477,296,855,217,254,138,4167,414,648,194,2306,356,952,208,190,86,30,41,41,48
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",318429,1281,220705,1731,6166,435,53938,1265,96736,1483,43520,1067,14679,677,5666,350,97724,1455,18980,900,46557,1320,25209,988,5148,542,1318,191,512,167
310M300US10940,10940,"Alma, MI Micro Area",14736,235,10718,267,288,66,2778,222,4839,224,1905,171,636,82,272,66,4018,283,666,153,1889,239,1074,173,273,85,107,62,9,8
310M300US10980,10980,"Alpena, MI Micro Area",12789,240,9851,285,325,97,3088,233,4378,245,1409,161,457,83,194,51,2938,233,669,133,1459,196,715,155,70,39,10,11,15,18
310M300US11020,11020,"Altoona, PA Metro Area",51638,568,36185,651,1141,149,10117,409,15901,611,6285,404,2116,298,625,152,15453,652,3664,412,7783,576,3226,357,605,185,171,110,4,7
310M300US11060,11060,"Altus, OK Micro Area",9958,286,5710,261,137,56,1392,218,2344,220,1184,152,431,98,222,82,4248,259,653,165,1713,255,1344,198,368,99,110,95,60,42
310M300US11100,11100,"Amarillo, TX Metro Area",96146,838,62155,807,1198,199,14276,591,28368,863,12661,554,4051,355,1601,298,33991,949,3804,387,16908,833,10375,796,2006,333,737,201,161,75
310M300US11140,11140,"Americus, GA Micro Area",13796,366,7894,369,287,107,2089,224,2962,345,1943,289,350,95,263,123,5902,409,1277,237,2875,377,1378,292,252,105,120,94,0,27
310M300US11180,11180,"Ames, IA Metro Area",37106,379,19135,417,302,91,4280,385,9409,433,3564,280,1128,171,452,97,17971,518,1892,289,8021,562,4743,544,2233,386,923,301,159,94
310M300US11220,11220,"Amsterdam, NY Micro Area",19700,304,13565,380,696,113,3844,291,5715,308,2447,248,654,139,209,66,6135,354,1807,233,2927,286,1125,182,224,66,30,31,22,21
310M300US11260,11260,"Anchorage, AK Metro Area",136625,918,87131,1138,1735,264,18504,768,38130,1134,18828,676,6763,438,3171,304,49494,1270,5563,480,21311,1036,17612,847,3940,397,710,192,358,137
310M300US11380,11380,"Andrews, TX Micro Area",5413,193,3981,263,84,59,918,183,1702,290,821,219,383,146,73,47,1432,253,84,55,752,188,413,138,130,69,53,41,0,21
310M300US11420,11420,"Angola, IN Micro Area",13810,384,10743,378,239,75,2380,269,4779,341,2203,206,879,135,263,80,3067,329,361,120,1497,220,841,226,305,117,45,44,18,20
310M300US11460,11460,"Ann Arbor, MI Metro Area",138947,851,83645,986,1761,253,22282,718,39443,913,14110,603,4244,345,1805,225,55302,1199,9681,596,26788,970,14744,687,2587,298,998,202,504,147
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",45099,742,31295,709,892,155,7766,573,12264,664,6592,508,2308,308,1473,289,13804,873,1772,297,6339,624,4484,466,956,229,153,67,100,74
310M300US11540,11540,"Appleton, WI Metro Area",91633,502,66617,770,845,149,13885,591,33162,800,12750,588,4587,378,1388,179,25016,791,2408,307,13034,689,7833,502,1379,206,293,95,69,39
310M300US11580,11580,"Arcadia, FL Micro Area",11744,398,8090,384,306,97,3617,272,2950,302,893,186,219,94,105,50,3654,301,542,162,1571,211,1056,218,402,130,83,65,0,28
310M300US11620,11620,"Ardmore, OK Micro Area",18278,237,12649,305,372,81,2994,243,5720,301,2566,231,780,145,217,64,5629,345,712,141,2842,271,1699,181,314,106,27,24,35,35
310M300US11660,11660,"Arkadelphia, AR Micro Area",8820,280,5470,261,108,53,1222,187,2329,242,1188,221,447,105,176,66,3350,310,539,135,1558,234,1006,230,130,69,110,95,7,12
310M300US11680,11680,"Arkansas City-Winfield, KS Micro Area",13688,345,9020,316,182,68,2123,205,3213,227,2171,230,893,159,438,108,4668,324,651,164,1996,241,1551,247,317,100,111,65,42,30
310M300US11700,11700,"Asheville, NC Metro Area",187845,1164,126765,1551,2897,347,34604,1189,54240,1259,24138,1063,7953,601,2933,390,61080,1281,6479,571,30697,1180,19003,880,3656,399,990,203,255,104
310M300US11740,11740,"Ashland, OH Micro Area",20504,296,14890,442,634,166,3376,332,6124,418,3123,268,1129,166,504,121,5614,406,817,173,2448,291,1584,259,559,165,93,51,113,60
310M300US11780,11780,"Ashtabula, OH Micro Area",38381,565,26982,457,1236,244,6849,480,11590,531,5130,352,1432,200,745,145,11399,577,2146,313,5568,428,2749,372,663,185,158,84,115,92
